video_id,url,channel,category,tags,title,notes
oc-as2xEnnU,https://www.youtube.com/watch?v=oc-as2xEnnU,Tübingen Machine Learning,object_tracking,filtering,Self-Driving Cars - Lecture 11.2 (Object Tracking: Filtering),
8uTXar8AWOw,https://www.youtube.com/watch?v=8uTXar8AWOw,Tübingen Machine Learning,object_tracking,association,Self-Driving Cars - Lecture 11.3 (Object Tracking: Association),
x9xBYfyjBc0&t=1s,https://www.youtube.com/watch?v=x9xBYfyjBc0&t=1s,Tübingen Machine Learning,object_tracking,holistic_scene_understanding,Self-Driving Cars - Lecture 11.4 (Object Tracking: Holistic Scene Understanding),
VAhBWF3PRM8,https://www.youtube.com/watch?v=VAhBWF3PRM8,Tübingen Machine Learning,decision_making_and_planning,,Self-Driving Cars - Lecture 12.1 (Decision Making and Planning: Introduction),
1T0trI6yDQc,https://www.youtube.com/watch?v=1T0trI6yDQc,Tübingen Machine Learning,decision_making_and_planning,route_planning,Self-Driving Cars - Lecture 12.2 (Decision Making and Planning: Route Planning),
FOww4GONkwQ&t=1s,https://www.youtube.com/watch?v=FOww4GONkwQ&t=1s,Tübingen Machine Learning,decision_making_and_planning,behavior_planning,Self-Driving Cars - Lecture 12.3 (Decision Making and Planning: Behavior Planning),
PSX18U1fYEY,https://www.youtube.com/watch?v=PSX18U1fYEY,Tübingen Machine Learning,decision_making_and_planning,motion_planning,Self-Driving Cars - Lecture 12.4 (Decision Making and Planning: Motion Planning),
EBFlmHqgezM&t=247s,https://www.youtube.com/watch?v=EBFlmHqgezM&t=247s,Cyrill Stachniss,autonomous_driving_lecture,,Self-Driving Cars: An Introduction (Cyrill Stachniss),
tZ8sXd77pVo&t=3s,https://www.youtube.com/watch?v=tZ8sXd77pVo&t=3s,Cyrill Stachniss,localization,,Self-Driving Cars: Localization (Daniel Wilbers),
XmjjmnDcduU,https://www.youtube.com/watch?v=XmjjmnDcduU,Cyrill Stachniss,vehicle_control,,Self-Driving Cars: Control (Nived Chebrolu),
XaD8Lngfkzk,https://www.youtube.com/watch?v=XaD8Lngfkzk,Cyrill Stachniss,vehicle_control,"model_predictive_control,mpc",Model Predictive Control - Part 1: Introduction to MPC (Lasse Peters),
TtGCEzYxM_A,https://www.youtube.com/watch?v=TtGCEzYxM_A,Cyrill Stachniss,vehicle_control,"model_predictive_control,mpc,numerical_methods",Model Predictive Control - Part 2: Numerical Methods for MPC (Lasse Peters),
BoSCJX_S4DA,https://www.youtube.com/watch?v=BoSCJX_S4DA,Cyrill Stachniss,reinforcement_learning,,Introduction to Reinforcement Learning (Julius Rückin),
wpjUQ7IRQZI,https://www.youtube.com/watch?v=wpjUQ7IRQZI,Cyrill Stachniss,decision_making_and_planning,,Self-Driving Cars: Planning (Benedikt Mersch),
GaCXxffLzX8,https://www.youtube.com/watch?v=GaCXxffLzX8,Cyrill Stachniss,behavior_planning,behavior_estimation,Self-Driving Cars: Behavior Estimation (Benedikt Mersch),
tufYlgHIGvs&t=1s,https://www.youtube.com/watch?v=tufYlgHIGvs&t=1s,Cyrill Stachniss,perception,,Self-Driving Cars: Perception - Part 1 (Jens Behley),
O1VVn8ULMSU,https://www.youtube.com/watch?v=O1VVn8ULMSU,Cyrill Stachniss,perception,,Self-Driving Cars: Perception - Part 2 (Jens Behley),
9KA04ayP2P4,https://www.youtube.com/watch?v=9KA04ayP2P4,Cyrill Stachniss,perception,unsupervised_learning,Self-Driving Cars: Unsupervised Learning for Vehicles Perception (Lucas Nunes),
M_TKJQe6y-8,https://www.youtube.com/watch?v=M_TKJQe6y-8,Cyrill Stachniss,perception,radar_perception,Self-Driving Cars: Radar Perception (Matthias Zeller),
DtRktn4bVWg,https://www.youtube.com/watch?v=DtRktn4bVWg,Cyrill Stachniss,view_from_practice,,Self-Driving Cars: View from Practice (Igor Bogoslavskyi),
QFlM2ImFNq4,https://www.youtube.com/watch?v=QFlM2ImFNq4,Centre for Assuring Autonomy,iso_pas_8800,"automotive_safety_artificial_intelligence,ai,autonomous_driving","Professor Simon Burton, CfAA Chair of Systems Safety introduces ISO PAS 8800 for automated driving.",
sRwcziQFjj8,https://www.youtube.com/watch?v=sRwcziQFjj8,AutoTechSimplified,iso_26262,"functional_safety_part_1,vocabulary",ISO 26262 Part 1 | Vocabulary & Key Functional Safety Terms,
WJ34caCBhRU,https://www.youtube.com/watch?v=WJ34caCBhRU,AutoTechSimplified,iso_26262,"functional_safety_part_2,management_of_functional_safety",ISO 26262 Part 2 | Functional Safety Management in Automotive,
T2ornefnR64,https://www.youtube.com/watch?v=T2ornefnR64,AutoTechSimplified,iso_26262,"functional_safety_part_3,concept_phase,safety_goals,functional_safety_concept,hara","ISO 26262 Part 3 | HARA, Safety Goals & Functional Safety Concept",
58Gh1_2xTzE,https://www.youtube.com/watch?v=58Gh1_2xTzE,AutoTechSimplified,iso_26262,"functional_safety_part_4,system_level_safety,product_development",ISO 26262 – Part 4: System-Level Safety in Automotive Development,
Rz908an-jCc,https://www.youtube.com/watch?v=Rz908an-jCc,AutoTechSimplified,iso_26262,"functional_safety_part_5,hardware_level_safety,hardware_development",ISO 26262 Part 5 | Hardware Development & Functional Safety,
gXFqhE-hTr4,https://www.youtube.com/watch?v=gXFqhE-hTr4,AutoTechSimplified,iso_26262,"functional_safety_part_6,software_level_safety,software_development",ISO 26262 Part 6 | Software Development & Functional Safety,
XRm3noeOR7Y,https://www.youtube.com/watch?v=XRm3noeOR7Y,AutoTechSimplified,iso_26262,"functional_safety_part_7,production,operation,service,decommissioning","ISO 26262 Part 7 Explained | Production, Operation, Service & Decommissioning",
-9AdMEdSZz0,https://www.youtube.com/watch?v=-9AdMEdSZz0,AutoTechSimplified,iso_26262,"functional_safety_part_8,supporting_process",ISO 26262 Part 8 Explained | Supporting Processes in Functional Safety,
IviBMDFyHaw,https://www.youtube.com/watch?v=IviBMDFyHaw,AutoTechSimplified,iso_26262,"functional_safety_part_9,asil_decomposition,dfa,safety_machanism","ISO 26262 Part 9 Explained | ASIL Decomposition, DFA & Safety Mechanisms",
6Xl3YXBJbTU,https://www.youtube.com/watch?v=6Xl3YXBJbTU,Walterconsulting,iso_21448,sotif,SOTIF Explained (ISO 21448 Made Simple),
KiGkJZh6lYo,https://www.youtube.com/watch?v=KiGkJZh6lYo,AutoSysEng TV: System Architecture & Safety,iso_21448,"iso_26262,iso_21448,integrating_sotif_and_functional_safety",Integrating ISO 21448 SOTIF and ISO 26262 Functional Safety,
heG4C_W2NyQ,https://www.youtube.com/watch?v=heG4C_W2NyQ,The Tesla Space,autonomous_driving,"tesla,full_self_driving,fsd",How Tesla Full Self Driving Actually Works,
3SypMvnQT_s,https://www.youtube.com/watch?v=3SypMvnQT_s,Tesla Owners Online,autonomous_driving,"tesla,full_self_driving,fsd,andrey_karpathy",Tesla Full Self Driving explained by Andrej Karpathy,
YgT95ZKD1_s,https://www.youtube.com/watch?v=YgT95ZKD1_s,The Tesla Space,autonomous_driving,"tesla,full_self_driving,fsd",Tesla FSD V14 is Here! And It's INSANE!,
LlChkT6sQBA,https://www.youtube.com/watch?v=LlChkT6sQBA,China Observer,autonomous_driving_failure_case,"perception_failure,odd,edge_case,sotif,adas_failure","China’s Silly Driverless Delivery Cars Excel in Hit-And-Runs, Ruining Traffic and Couriers’ Lives",
VsFvU5hMbQY,https://www.youtube.com/watch?v=VsFvU5hMbQY,POWERNATION,autonomous_driving_failure_case,"perception_failure,odd,edge_case,sotif,adas_failure",Top 5 Fast Fails...Autonomous Cars!,
wlv7t9_RvWo,https://www.youtube.com/watch?v=wlv7t9_RvWo,Max Engineering,autonomous_driving_failure_case,"perception_failure,odd,edge_case,sotif,adas_failure",The Biggest Problem With Self-Driving Cars,
tcHg-fMVxr4,https://www.youtube.com/watch?v=tcHg-fMVxr4,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 2 Clauses 5.1-5.2.2,"Public lecture transcript; educational context, not official standard text"
x2c4AP5ql-c,https://www.youtube.com/watch?v=x2c4AP5ql-c,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 2 Clauses 5.1-5.2.2,"Public lecture transcript; educational context, not official standard text"
irn2WByezdk,https://www.youtube.com/watch?v=irn2WByezdk&t=31s,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 3 Clauses 5.2.2-5.3.2,"Public lecture transcript; educational context, not official standard text"
J5gdVM-isXk,https://www.youtube.com/watch?v=J5gdVM-isXk,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 4 Clauses 5.3.3-5.4,"Public lecture transcript; educational context, not official standard text"
DsfW92chJCM,https://www.youtube.com/watch?v=DsfW92chJCM,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 5 Clause 5.5,"Public lecture transcript; educational context, not official standard text"
zIj5jjHULnc,https://www.youtube.com/watch?v=zIj5jjHULnc,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 6 Clauses 5.5-5.6.1,"Public lecture transcript; educational context, not official standard text"
rV2rUJuar2E,https://www.youtube.com/watch?v=rV2rUJuar2E,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 7 Clauses 5.6.1-5.6.3,"Public lecture transcript; educational context, not official standard text"
yyauqZXeAig,https://www.youtube.com/watch?v=yyauqZXeAig,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 8 Clause 5.6.3,"Public lecture transcript; educational context, not official standard text"
5btDiPSJoOE,https://www.youtube.com/watch?v=5btDiPSJoOE,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 9 Clauses 5.6.3-5.6.4,"Public lecture transcript; educational context, not official standard text"
RKAFOs4eqLY,https://www.youtube.com/watch?v=RKAFOs4eqLY,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 10 Clause 5.6.4,"Public lecture transcript; educational context, not official standard text"
jiQaYX1EiPE,https://www.youtube.com/watch?v=jiQaYX1EiPE,EQR-Quality-Integrity,railway_rams,"iec_62278,en_50126,rams,railway_safety",IEC 62278-1 / EN 50126-1 RAMS Training - Product System Part 11 Clauses 5.6.4-5.7,"Public lecture transcript; educational context, not official standard text"
